Director (1),AVERAGE of Box Office Revenue ($),AVERAGE of Budget ($),Average Profit
Andrew Erwin and Jon Erwin,"$10,500,000.00","$5,000,000.00","$5,500,000.00"
Bille Woodruff,"$10,400,000.00","$5,000,000.00","$5,400,000.00"
Jorma Taccone,"$9,500,000.00","$20,000,000.00","-$10,500,000.00"
Alfonso Gomez-Rejon,"$9,100,000.00","$8,000,000.00","$1,100,000.00"
Marcus Dunstan,"$8,900,000.00","$10,000,000.00","-$1,100,000.00"
David Gordon Green,"$8,600,000.00","$28,000,000.00","-$19,400,000.00"
Curtis Hanson,"$8,300,000.00","$20,000,000.00","-$11,700,000.00"
Dan Fogelman,"$8,200,000.00","$10,000,000.00","-$1,800,000.00"
Timo Vuorensola,"$8,100,000.00","$7,500,000.00","$600,000.00"
Gus Van Sant,"$8,100,000.00","$15,000,000.00","-$6,900,000.00"
Gareth Evans,"$7,870,000.00","$2,800,000.00","$5,070,000.00"
Jay Duplass,"$7,500,000.00","$7,500,000.00",$0.00
Dennis Gansel,"$7,500,000.00","$40,000,000.00","-$32,500,000.00"
Cyrus Nowrasteh,"$7,200,000.00","$18,500,000.00","-$11,300,000.00"
Pascal Chaumeil,"$7,100,000.00","$22,700,000.00","-$15,600,000.00"
James Ponsoldt,"$6,900,000.00","$2,500,000.00","$4,400,000.00"
Diego Luna,"$6,700,000.00","$10,000,000.00","-$3,300,000.00"
Valérie Donzelli,"$6,500,000.00","$1,500,000.00","$5,000,000.00"
László Nemes,"$6,200,000.00","$1,500,000.00","$4,700,000.00"
Anna Muylaert,"$6,200,000.00","$4,000,000.00","$2,200,000.00"
Zach Braff,"$5,500,000.00","$6,000,000.00","-$500,000.00"
James Vanderbilt,"$5,400,000.00","$9,600,000.00","-$4,200,000.00"
Ed Zwick,"$5,400,000.00","$19,000,000.00","-$13,600,000.00"
Daniel Barnz,"$5,400,000.00","$19,000,000.00","-$13,600,000.00"
Nat Faxon,"$5,000,000.00","$5,000,000.00",$0.00
Deniz Gamze Ergüven,"$4,900,000.00","$1,300,000.00","$3,600,000.00"
Michael Polish,"$4,800,000.00","$5,000,000.00","-$200,000.00"
Sam Liu,"$4,400,000.00","$3,500,000.00","$900,000.00"
Rob Thomas,"$3,500,000.00","$6,000,000.00","-$2,500,000.00"
Barry Levinson,"$3,400,000.00","$15,000,000.00","-$11,600,000.00"
Bruno Podalydès,"$3,300,000.00","$3,800,000.00","-$500,000.00"
Gavin O'Connor,"$3,000,000.00","$25,000,000.00","-$22,000,000.00"
Carlo Carlei,"$3,000,000.00","$15,000,000.00","-$12,000,000.00"
Yann Demange,"$2,900,000.00","$8,100,000.00","-$5,200,000.00"
Jerry Jameson,"$2,800,000.00","$2,000,000.00","$800,000.00"
Dustin Marcellino,"$2,800,000.00","$16,000,000.00","-$13,200,000.00"
Ciro Guerra,"$2,800,000.00","$1,400,000.00","$1,400,000.00"
Scott McGehee,"$2,700,000.00","$5,000,000.00","-$2,300,000.00"
Marc Abraham ,"$2,600,000.00","$13,000,000.00","-$10,400,000.00"
Michael Cuesta,"$2,500,000.00","$5,000,000.00","-$2,500,000.00"
William Eubank,"$2,420,000.00","$4,000,000.00","-$1,580,000.00"
Zal Batmanglij,"$2,400,000.00","$6,500,000.00","-$4,100,000.00"
Angelo Pizzo,"$2,200,000.00","$20,000,000.00","-$17,800,000.00"
Kevin Smith,"$1,900,000.00","$3,000,000.00","-$1,100,000.00"
Grímur Hákonarson,"$1,740,000.00","$1,750,000.00","-$10,000.00"
Jonathan Jakubowicz,"$1,700,000.00","$20,000,000.00","-$18,300,000.00"
William Riead,"$1,600,000.00","$1,000,000.00","$600,000.00"
Matt Hullum,"$1,600,000.00","$2,400,000.00","-$800,000.00"
Matthew Diamond,"$1,100,000.00","$20,000,000.00","-$18,900,000.00"
Ryuhei Kitamura,"$1,000,000.00","$2,900,000.00","-$1,900,000.00"
David Lowery,"$1,000,000.00","$4,000,000.00","-$3,000,000.00"
Grand Total,"$151,983,208.66","$48,871,397.64","$103,111,811.02"
