Director (1),AVERAGE of Box Office Revenue ($),AVERAGE of Budget ($),Average Profit
Walt Becker,"$234,800,000.00","$90,000,000.00","$144,800,000.00"
Morten Tyldum,"$233,600,000.00","$14,000,000.00","$219,600,000.00"
Ben Affleck,"$232,300,000.00","$44,500,000.00","$187,800,000.00"
David Ayer,"$228,525,000.00","$71,250,000.00","$157,275,000.00"
Paul Feig,"$227,700,000.00","$84,000,000.00","$143,700,000.00"
Tommy Wirkola,"$226,300,000.00","$50,000,000.00","$176,300,000.00"
Gary Shore,"$217,100,000.00","$70,000,000.00","$147,100,000.00"
Rawson Marshall Thurber,"$212,200,000.00","$50,000,000.00","$162,200,000.00"
Patrick Hughes,"$206,200,000.00","$90,000,000.00","$116,200,000.00"
Scott Waugh,"$203,300,000.00","$65,000,000.00","$138,300,000.00"
Todd Phillips,"$202,350,000.00","$71,500,000.00","$130,850,000.00"
Thor Freudenthal,"$202,200,000.00","$90,000,000.00","$112,200,000.00"
F. Gary Gray,"$201,600,000.00","$50,000,000.00","$151,600,000.00"
Len Wiseman,"$198,500,000.00","$125,000,000.00","$73,500,000.00"
Nick Cassavetes,"$196,700,000.00","$40,000,000.00","$156,700,000.00"
Takashi Yamazaki,"$196,400,000.00","$35,000,000.00","$161,400,000.00"
Thea Sharrock,"$196,200,000.00","$20,000,000.00","$176,200,000.00"
Babak Najafi,"$195,700,000.00","$60,000,000.00","$135,700,000.00"
Nancy Meyers,"$194,600,000.00","$44,000,000.00","$150,600,000.00"
Neill Blomkamp,"$194,100,000.00","$82,000,000.00","$112,100,000.00"
Robert Schwentke,"$184,933,333.33","$116,666,666.67","$68,266,666.67"
Juan Antonio Bayona,"$180,300,000.00","$45,000,000.00","$135,300,000.00"
Larry Charles,"$179,400,000.00","$65,000,000.00","$114,400,000.00"
Paul W. S. Anderson,"$179,000,000.00","$72,500,000.00","$106,500,000.00"
Lee Daniels,"$176,600,000.00","$30,000,000.00","$146,600,000.00"
Rian Johnson,"$176,500,000.00","$30,000,000.00","$146,500,000.00"
Sean Anders,"$174,050,000.00","$63,000,000.00","$111,050,000.00"
